Candidate_ID,Raw_Input_Text,Time_Zone,Email
1,Tuesday: available from 13:00-13:30.,US/Eastern,prakhararora60@gmail.com
2,Thursday works; free at 14:00-14:30.,US/Pacific,prakhararora60@gmail.com
3,Wednesday: available at 10:00-10:30.,US/Eastern,prakhararora60@gmail.com
4,I can join a meeting on Thursday at 14:00-14:30.,US/Central,prakhararora60@gmail.com
5,"I could meet Friday, but only before 2pm.",US/Eastern,prakhararora60@gmail.com
6,I have time on Friday at 15:00-15:30.,US/Central,prakhararora60@gmail.com
7,"I could meet Friday, but only before 2pm.",US/Eastern,prakhararora60@gmail.com
8,I'm available on Tuesday at 10:00-10:30.,US/Eastern,prakhararora60@gmail.com
9,I can attend on Thursday at 10:00-10:30.,US/Eastern,prakhararora60@gmail.com
10,free on Tuesday around 15:00-15:30.,US/Eastern,prakhararora60@gmail.com
11,free on Tuesday around 11:00-11:30.,UTC,prakhararora60@gmail.com
12,"Early Tuesday, around 11am would be perfect.",US/Eastern,prakhararora60@gmail.com
13,"Monday, I have a free slot at 13:00-13:30.",UTC,prakhararora60@gmail.com
14,I can attend a meeting on Thursday at 10:00-10:30.,US/Eastern,prakhararora60@gmail.com
15,Friday is perfect at 15:00-15:30.,US/Eastern,prakhararora60@gmail.com
16,"For Monday, my slot is 13:00-13:30.",US/Central,prakhararora60@gmail.com
17,First thing Thursday morning works best for me.,UTC,prakhararora60@gmail.com
18,"Wednesday late afternoon, around 4pm",US/Eastern,prakhararora60@gmail.com
19,I'm available on Tuesday at 11:00-11:30.,US/Eastern,prakhararora60@gmail.com
20,"Wednesday, sometime after 2pm is good.",UTC,prakhararora60@gmail.com
21,I prefer Wednesday before noon.,US/Central,prakhararora60@gmail.com
22,"On Monday, free at 14:00-14:30.",US/Central,prakhararora60@gmail.com
23,My Monday availability is 11:00-11:30.,US/Pacific,prakhararora60@gmail.com
24,"I have availability all day Friday, especially in the afternoon.",UTC,prakhararora60@gmail.com
25,I can join a meeting on Thursday at 10:00-10:30.,US/Eastern,prakhararora60@gmail.com
26,"Tuesday, available at 15:00-15:30.",US/Eastern,prakhararora60@gmail.com
27,"On Wednesday, my availability is 11:00-11:30.",US/Eastern,prakhararora60@gmail.com
28,Friday is perfect at 15:00-15:30.,US/Eastern,prakhararora60@gmail.com
29,Thursday after lunch is ideal for me.,US/Eastern,prakhararora60@gmail.com
30,I can do Monday at 13:00-13:30.,US/Eastern,prakhararora60@gmail.com
31,available on Friday at 14:00-14:30.,US/Central,prakhararora60@gmail.com
32,"Tuesday, available at 11:00-11:30.",US/Eastern,prakhararora60@gmail.com
