Recruiter_ID,Weekly_Availability,Time_Zone,Email
R1,"{""Monday"": [""10:30-11:00"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:30-17:00""], ""Thursday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R2,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""16:00-16:30""], ""Thursday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R3,"{""Monday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Thursday"": [""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""11:00-11:30"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R4,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""16:00-16:30"", ""16:30-17:00""], ""Thursday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00""], ""Friday"": [""11:00-11:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R5,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30""], ""Thursday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R6,"{""Monday"": [""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Thursday"": [""10:30-11:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R7,"{""Monday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30""], ""Thursday"": [""10:30-11:00"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""14:00-14:30"", ""15:30-16:00"", ""16:00-16:30""]}",EST,prakhararora886@gmail.com
R8,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Thursday"": [""10:30-11:00"", ""11:00-11:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""15:30-16:00"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R9,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Tuesday"": [""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:30-17:00""], ""Thursday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""], ""Friday"": [""13:00-13:30"", ""14:00-14:30"", ""15:30-16:00"", ""16:00-16:30"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
R10,"{""Monday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""16:00-16:30""], ""Tuesday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00""], ""Wednesday"": [""10:30-11:00"", ""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""16:00-16:30"", ""16:30-17:00""], ""Thursday"": [""11:00-11:30"", ""13:00-13:30"", ""13:30-14:00"", ""15:00-15:30"", ""16:30-17:00""], ""Friday"": [""11:00-11:30"", ""11:30-12:00"", ""13:00-13:30"", ""13:30-14:00"", ""14:00-14:30"", ""15:00-15:30"", ""15:30-16:00"", ""16:30-17:00""]}",EST,prakhararora886@gmail.com
