Event_ID,Candidate_ID,Candidate_Email,Recruiter_ID,Recruiter_Email,Day,Scheduled_Time_Slot,Outcome
1,1,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
2,2,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
3,3,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
4,4,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
5,5,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
6,6,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
7,7,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,10:30-11:00,Confirmed
8,8,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
9,9,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
10,10,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
11,11,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
12,12,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
13,13,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
14,14,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
15,15,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
16,16,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,11:00-11:30,Confirmed
17,17,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
18,18,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
19,19,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
20,20,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
21,21,prakhararora60@gmail.com,R8,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
22,22,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
23,23,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,11:30-12:00,Confirmed
24,24,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
25,25,prakhararora60@gmail.com,R2,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
26,26,prakhararora60@gmail.com,R3,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
27,27,prakhararora60@gmail.com,R4,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
28,28,prakhararora60@gmail.com,R5,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
29,29,prakhararora60@gmail.com,R1,prakhararora886@gmail.com,Thursday,15:00-15:30,Confirmed
30,30,prakhararora60@gmail.com,R6,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
31,31,prakhararora60@gmail.com,R7,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
32,32,prakhararora60@gmail.com,R9,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
33,33,prakhararora60@gmail.com,R10,prakhararora886@gmail.com,Monday,13:00-13:30,Confirmed
